number,name,start,end
40,Landes,03-12-2018,03-30-2018
41,Loir-et-Cher,04-02-2018,04-20-2018
42,Loire,04-23-2018,05-18-2018
43,Haute Loire,05-22-2018,06-08-2018
44,Loire Atlantique,06-11-2018,06-29-2018
45,Loiret,07-02-2018,07-20-2018
46,Lot,07-23-2018,08-10-2018
47,Lot-et-Garonne,08-13-2018,08-31-2018
48,Lozère,08-31-2018,09-22-2018
49,Maine-et-Loire,09-22-2018,10-12-2018
50,Manche,10-13-2018,10-31-2018
51,Roswell,11-05-2018,11-23-2018
52,Haute Marne,11-26-2018,12-14-2018
53,Mayenne,12-17-2018,01-11-2019
54,Meurthe-et-Moselle,01-14-2019,02-01-2019
55,Meuse,02-04-2019,02-22-2019